ts_code,name,industry,list_date,days_listed,n_days_data,close,ret_20d,ret_60d,ret_120d,above_ma60,dd_now,max_dd,ann_ret,vol_ann,pe_ttm,pb,pe_quantile,total_mv_yi,amount_mean_wan,turnover_mean,roe_ttm,netprofit_yoy_q,netprofit_yoy_mean_4q,or_yoy_mean_4q,gp_margin,np_margin,debt_ratio,n_positive_quarters,weight_idx,pass,reject_reason,s_quality,s_growth,s_value,s_momentum,s_liquidity,total_score,sort_key,perilla_tag
920438.BJ,戈碧迦,元器件,20240325,802,532,93.15,0.32881597717546374,1.2858895705521474,1.3958333333333335,True,0.0,-0.6589279617616937,0.8925469201910894,0.8555548035214402,419.262,13.7744,0.9981203007518797,135.5099625,197.47168856766922,6.45115864661654,3.1006,31.1564,-38.172125,0.8812499999999996,28.9126,7.639,39.8167,1,4.304,False,PE_TTM 极高 (419),0.25,0.0,0.1,1.0,0.3,0.275,-9.725,B 中 moat
920799.BJ,XD艾融软,软件服务,20200727,2139,827,29.98,-0.2009594882729212,-0.2560794044665011,-0.36442654229383087,False,-0.6924181799528062,-0.7033959166923158,0.5792916779584512,0.7784841150892996,145.8484,16.3452,0.6856106408706167,62.70179092,204.073682783555,4.108487061668682,15.7511,-84.2942,4.2352750000000015,-8.665025,26.9768,3.4873,60.8861,2,1.898,False,最新季净利同比崩盘 (-84%),0.38,0.0,0.25,0.0,0.4,0.204,-9.796,B 中 moat
920402.BJ,硅烷科技,化工原料,20220928,1346,827,11.14,0.187633262260128,0.11623246492985984,0.048964218455743946,True,-0.3601378518093017,-0.6812176909821933,-0.05612391332520339,0.5760688068566113,,3.1197,,47.01749146,63.75399230350665,1.9315037484885127,-7.0441,-173.1851,-179.82345,-40.921625,-45.0337,-60.3631,18.8511,0,1.28,False,最新季净利同比崩盘 (-173%),0.0,0.0,0.5,0.5499999999999999,0.1,0.1925,-9.8075,C 价格战赛道
920593.BJ,鼎智科技,机械基件,20230413,1149,761,31.7,0.048974189278623514,0.07384823848238486,-0.022208513263417662,True,-0.7761457524186152,-0.9039615846338538,-0.05318944226757161,0.9397093106071962,247.7699,8.2383,0.9960578186596584,60.30794142,165.60249876609723,5.4454061760840995,4.3101,-44.144,-15.82535,25.879199999999997,44.8054,9.0703,16.348,1,1.961,False,PE_TTM 极高 (248),0.43,0.0,0.1,0.08000000000000002,0.3,0.19100000000000003,-9.809,B 中 moat
920592.BJ,华信永道,软件服务,20230710,1061,704,27.43,-0.17528562838244133,-0.2189635535307517,-0.3055696202531646,False,-0.6919708029197078,-0.7026389668725433,0.2971996698205237,0.9845922061887304,,6.6756,,22.1620685,129.50732036363638,12.82602414772727,-10.6696,5.957,-106.37925,1.9986999999999995,37.2854,-21.7642,29.5778,2,0.697,False,ROE 大幅亏损 (-10.7%),0.03,0.0,0.5,0.0,0.3,0.139,-9.861,B 中 moat
920139.BJ,华岭股份,半导体,20221028,1316,827,18.16,-0.07394186639469658,-0.055150884495317354,-0.12355212355212353,False,-0.6052173913043474,-0.6447826086956518,0.20311664581124855,0.6948102389633211,,4.7467,,48.94254239,141.9298784873035,2.441158041112455,-5.2193,-30.2976,-120.320325,18.258675,10.7735,-17.039,19.6433,0,2.223,False,ROE 大幅亏损 (-5.2%),0.0,0.0,0.5,0.0,0.2,0.12000000000000001,-9.88,C 低 moat
920819.BJ,颖泰生物,农药化肥,20200727,2139,827,3.04,-0.12138728323699421,-0.23232323232323226,-0.251231527093596,False,-0.45617173524150445,-0.6368515205724512,-0.15006910171695176,0.4323453966321837,,0.7838,,37.26432,35.31692463603386,0.7100417170495767,-5.2282,-940.8577,-173.58015,0.2263000000000001,11.9177,-1.5193,57.101,3,1.113,False,最新季净利同比崩盘 (-941%),0.0,0.0,0.5,0.0,0.1,0.11000000000000001,-9.89,C 低 moat
920068.BJ,天工股份,小金属,20250513,388,260,18.48,-0.09099852434825373,-0.11705685618729089,0.10262529832935563,False,-0.24694376528117445,-0.32110839445802797,-0.07788730344444328,0.4871132333135487,132.6414,9.4898,0.8384615384615385,121.15488277,115.98078259615383,8.775228461538461,11.8211,-99.7957,-56.753575,-29.56575,7.0312,-0.8348,14.0922,0,0.884,False,最新季净利同比崩盘 (-100%),0.13,0.0,0.1,0.0,0.3,0.089,-9.911,C 低 moat
920522.BJ,纳科诺尔,专用机械,20231116,932,617,31.11,-0.47046808510638294,-0.4620439218398755,-0.44446428571428576,False,-0.6096612296110416,-0.6171894604767882,0.2484888819001867,0.7986214648688512,146.7545,6.3646,0.8897893030794165,68.27120859,212.13855490113454,5.293478606158833,6.2137,-62.5759,-57.978474999999996,-1.7200500000000005,14.6557,3.688,58.2705,0,3.992,False,最新季净利同比崩盘 (-63%),0.0,0.0,0.1,0.0,0.5,0.07,-9.93,C 低 moat
920808.BJ,曙光数创,IT设备,20221118,1295,817,76.29,-0.10405167351732236,-0.0672453845213351,-0.012682800569431718,False,-0.5867280606717226,-0.8593716143011917,0.33520361861582093,0.9110650990829761,737.9961,21.6587,0.9595141700404858,152.58000076,207.17757000734395,2.6144988984088124,4.9851,-51.7101,-532.3019249999999,240.26225,3.5246,-46.2143,60.4462,0,3.517,False,PE_TTM 极高 (738),0.0,0.0,0.1,0.0,0.4,0.06000000000000001,-9.94,C 低 moat
920368.BJ,连城数控,专用机械,20200727,2139,827,35.91,-0.04035275253874948,-0.14090909090909098,0.3581694402420572,False,-0.48882562277580044,-0.7296603773584902,-0.09421423900531634,0.6178292290522409,485.9881,1.9912,0.9830713422007256,84.309656,146.8499423434099,1.8459628778718256,2.0152,-84.6888,-75.4656,-57.85705,15.7779,1.4933,49.6383,0,3.57,False,最新季净利同比崩盘 (-85%),0.1,0.0,0.1,0.0,0.1,0.060000000000000005,-9.94,C 低 moat
920821.BJ,则成电子,元器件,20220706,1430,827,23.24,-0.07447232178414975,0.028318584070796238,-0.154909090909091,True,-0.5441349548842684,-0.6190663005100039,0.33851637567239123,0.8751711197513715,407.8225,6.1461,0.9879081015719468,32.155305330000004,85.40077655622733,7.44214377267231,2.9137,-158.4593,-54.02355,5.3872,20.647,-3.39,38.5711,1,0.662,False,最新季净利同比崩盘 (-158%),0.0,0.0,0.1,0.02999999999999997,0.3,0.0545,-9.9455,C 低 moat
920576.BJ,天力复合,小金属,20230712,1059,702,69.9,-0.12581290645322651,-0.018120522545301165,1.516198704103672,False,-0.4174514542878569,-0.5318776564713723,0.5902933525880163,0.8597387587109672,614.4742,17.0285,0.9829059829059829,76.15605,126.48592065384618,3.9312054131054124,4.5558,-83.8902,-65.3622,-15.948275,11.6477,1.479,33.9467,0,1.432,False,最新季净利同比崩盘 (-84%),0.0,0.0,0.1,0.0,0.2,0.04000000000000001,-9.96,C 低 moat
