ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000688.SH,2024-07-04,690.3758,702.0886,704.7821,689.9207,701.7847,-11.4089,-1.6257,14632986.0,36345299.723
000688.SH,2024-07-05,698.8491,688.5292,699.9743,683.3956,690.3758,8.4733,1.2273,14254730.0,38188387.582
000688.SH,2024-07-08,692.488,700.0243,703.6287,689.8534,698.8491,-6.3611,-0.9102,15136831.0,39204287.609
000688.SH,2024-07-09,709.8883,689.7864,712.1906,689.4211,692.488,17.4003,2.5127,18996610.0,49260748.008
000688.SH,2024-07-10,710.3693,707.1942,715.7116,706.793,709.8883,0.481,0.0678,15019366.0,41921460.199
000688.SH,2024-07-11,718.04,722.0426,725.0175,712.0028,710.3693,7.6707,1.0798,18439796.0,51276562.6
000688.SH,2024-07-12,718.3699,713.3117,721.4609,711.1612,718.04,0.3299,0.0459,15120890.0,42161527.331
000688.SH,2024-07-15,715.8636,716.475,720.423,712.7898,718.3699,-2.5063,-0.3489,14157874.0,41286233.179
000688.SH,2024-07-16,732.0638,712.7582,732.6853,711.7131,715.8636,16.2002,2.263,15541005.0,49339979.843
000688.SH,2024-07-17,729.0022,733.0729,735.7127,729.0022,732.0638,-3.0616,-0.4182,15197177.0,46109582.552
000688.SH,2024-07-18,735.4102,721.7649,738.7302,718.5237,729.0022,6.408,0.879,17760685.0,52062451.85
000688.SH,2024-07-19,749.4705,731.4085,751.2023,731.3997,735.4102,14.0603,1.9119,18928053.0,57974835.758
000688.SH,2024-07-22,752.0006,749.3161,756.6829,747.3824,749.4705,2.5301,0.3376,17021854.0,52125186.053
000688.SH,2024-07-23,721.1077,750.1285,750.1285,720.8808,752.0006,-30.8929,-4.1081,16260399.0,48354138.906
000688.SH,2024-07-24,713.3213,720.4696,726.3121,712.3293,721.1077,-7.7864,-1.0798,15521986.0,43188464.867
000688.SH,2024-07-25,713.8828,708.9356,722.6017,708.9355,713.3213,0.5615,0.0787,14031882.0,37330944.805
000688.SH,2024-07-26,719.8702,713.8931,723.4891,710.3301,713.8828,5.9874,0.8387,13475448.0,36114061.2
000688.SH,2024-07-29,707.5969,719.5542,721.2212,707.5969,719.8702,-12.2733,-1.7049,13292593.0,34795513.336
000688.SH,2024-07-30,710.0148,706.8565,712.1548,699.9039,707.5969,2.4179,0.3417,13069542.0,34773516.152
000688.SH,2024-07-31,743.3737,707.6596,744.0048,707.2044,710.0148,33.3589,4.6983,20586187.0,55888597.607
000688.SH,2024-08-01,738.8706,745.9636,748.7677,735.5762,743.3737,-4.5031,-0.6058,18294406.0,50371892.748
000688.SH,2024-08-02,725.6603,730.6522,742.2321,723.5557,738.8706,-13.2103,-1.7879,16586428.0,45476228.459
000688.SH,2024-08-05,704.2959,719.1563,730.2852,704.2633,725.6603,-21.3644,-2.9441,18802540.0,50043039.199
000688.SH,2024-08-06,713.8638,714.4886,717.189,705.0205,704.2959,9.5679,1.3585,14715068.0,38786492.78
000688.SH,2024-08-07,707.5875,712.7362,716.2555,706.8294,713.8638,-6.2763,-0.8792,12896915.0,33983700.928
000688.SH,2024-08-08,708.9226,703.055,716.6017,699.7005,707.5875,1.3351,0.1887,13891261.0,35912736.09
000688.SH,2024-08-09,705.5456,717.138,719.4299,705.5456,708.9226,-3.377,-0.4764,12895302.0,34508480.652
000688.SH,2024-08-12,707.3312,704.3744,709.2074,702.9488,705.5456,1.7856,0.2531,12002220.0,29970420.188
000688.SH,2024-08-13,710.7468,707.6951,710.8868,702.9133,707.3312,3.4156,0.4829,10647463.0,26518286.876
000688.SH,2024-08-14,700.9303,711.6634,711.9424,700.8495,710.7468,-9.8165,-1.3812,10526844.0,27637296.732
000688.SH,2024-08-15,707.5508,699.0944,714.4645,697.8577,700.9303,6.6205,0.9445,14007562.0,34338026.113
000688.SH,2024-08-16,705.2244,707.3868,710.992,703.5797,707.5508,-2.3264,-0.3288,13276616.0,32679505.573
000688.SH,2024-08-19,703.3217,705.0385,712.0097,702.9978,705.2244,-1.9027,-0.2698,12825326.0,32339698.29
000688.SH,2024-08-20,693.5231,704.1157,705.0079,691.6494,703.3217,-9.7986,-1.3932,12141047.0,30373935.239
000688.SH,2024-08-21,691.6357,691.1343,698.5201,689.3758,693.5231,-1.8874,-0.2721,10322703.0,28306709.997
000688.SH,2024-08-22,685.5307,692.1893,695.4842,683.8756,691.6357,-6.105,-0.8827,11841474.0,29952391.727
000688.SH,2024-08-23,685.7587,683.5869,688.3349,676.2346,685.5307,0.228,0.0333,11650937.0,30230586.873
000688.SH,2024-08-26,682.4987,684.7724,688.9155,679.6144,685.7587,-3.26,-0.4754,12151487.0,29261552.668
000688.SH,2024-08-27,674.3472,679.7532,679.7532,672.4572,682.4987,-8.1515,-1.1944,11612004.0,27088347.626
000688.SH,2024-08-28,671.2199,672.9666,675.1094,669.1309,674.3472,-3.1273,-0.4638,10915142.0,25778609.275
000688.SH,2024-08-29,679.5949,667.8818,683.3255,666.4097,671.2199,8.375,1.2477,13954803.0,32799382.768
000688.SH,2024-08-30,694.1638,678.6132,700.0265,677.5431,679.5949,14.5689,2.1438,19156711.0,48194270.275
000688.SH,2024-09-02,670.0108,693.6747,694.4229,670.0108,694.1638,-24.153,-3.4794,17205560.0,41063766.515
000688.SH,2024-09-03,674.9553,670.0647,681.4786,670.0647,670.0108,4.9445,0.738,13042151.0,32553917.365
000688.SH,2024-09-04,672.2839,668.9308,679.1725,666.8985,674.9553,-2.6714,-0.3958,11882664.0,28422961.719
000688.SH,2024-09-05,671.2645,672.9951,680.7917,668.4641,672.2839,-1.0194,-0.1516,11248050.0,29712222.92
000688.SH,2024-09-06,662.3369,672.6207,673.9703,662.3369,671.2645,-8.9276,-1.33,12014699.0,28831013.838
000688.SH,2024-09-09,654.9387,659.5018,665.6652,652.9339,662.3369,-7.3982,-1.117,10622661.0,25991363.701
000688.SH,2024-09-10,660.0144,656.0364,663.8265,648.6222,654.9387,5.0757,0.775,11153705.0,27006559.441
000688.SH,2024-09-11,664.332,657.3864,665.7696,656.819,660.0144,4.3176,0.6542,10920574.0,28070307.734
000688.SH,2024-09-12,658.8536,666.2176,671.8655,658.6734,664.332,-5.4784,-0.8246,11175622.0,27667529.627
000688.SH,2024-09-13,655.0456,658.9832,662.8871,650.6977,658.8536,-3.808,-0.578,12477661.0,32343733.897
000688.SH,2024-09-18,647.4088,654.5113,654.5113,641.9074,655.0456,-7.6368,-1.1658,11780642.0,27742335.029
000688.SH,2024-09-19,651.466,649.7257,658.362,642.7948,647.4088,4.0572,0.6267,13218370.0,30881083.66
000688.SH,2024-09-20,648.3597,651.8206,654.1591,642.5978,651.466,-3.1063,-0.4768,11546560.0,27211145.298
000688.SH,2024-09-23,643.042,649.0028,654.2437,643.042,648.3597,-5.3177,-0.8202,11194771.0,27395548.847
000688.SH,2024-09-24,667.0485,648.1299,667.2694,640.3519,643.042,24.0065,3.7333,19770627.0,47471811.366
000688.SH,2024-09-25,667.3379,673.1807,684.432,667.0743,667.0485,0.2894,0.0434,21546357.0,52332379.401
000688.SH,2024-09-26,693.1492,667.5479,693.4644,663.1647,667.3379,25.8113,3.8678,21200670.0,53809801.054
000688.SH,2024-09-27,740.0157,704.5219,742.9569,704.2871,693.1492,46.8665,6.7614,19926573.0,50178955.336
000688.SH,2024-09-30,872.3652,782.3068,872.3652,776.4476,740.0157,132.3495,17.8847,59912936.0,162619912.631
000688.SH,2024-10-08,1023.9671,1045.0471,1045.0471,972.3417,872.3652,151.6019,17.3783,81102521.0,253004231.361
000688.SH,2024-10-09,997.8521,993.7812,1084.6821,958.4622,1023.9671,-26.115,-2.5504,74028185.0,277167646.122
